date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:49	67/67	---M--	200	added ('OK')	text/plain	etag:%2243-5d81f79fc024f%22	https://perceptive-analytics.com/robots.txt		(from )
15:28:50	32187/32187	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Jan%202019%2010:10:10%20GMT	https://perceptive-analytics.com/tableau-consultants/	C:/Users/Asus/Desktop/current/tableau%20ab/tableau%20page/perceptive-analytics.com/tableau-consultants/index.html	(from )
15:28:53	660/660	---M--	200	added ('OK')	image/png	date:Tue,%201%20Jan%202019%2010:10:10%20GMT	https://perceptive-analytics.com/tableau-consultants/images/favicon.png	C:/Users/Asus/Desktop/current/tableau%20ab/tableau%20page/perceptive-analytics.com/tableau-consultants/images/favicon.png	(from https://perceptive-analytics.com/tableau-consultants/)
15:28:56	147133/147133	---M--	200	added ('OK')	image/png	date:Tue,%201%20Jan%202019%2010:10:10%20GMT	https://www.perceptive-analytics.com/tableau-consultants/images/3-v4.0.png	C:/Users/Asus/Desktop/current/tableau%20ab/tableau%20page/www.perceptive-analytics.com/tableau-consultants/images/3-v4.0.png	(from https://perceptive-analytics.com/tableau-consultants/)
15:28:56	118489/118489	---M--	200	added ('OK')	text/css	date:Tue,%201%20Jan%202019%2010:10:10%20GMT	https://perceptive-analytics.com/tableau-consultants/css/bootstrap.css	C:/Users/Asus/Desktop/current/tableau%20ab/tableau%20page/perceptive-analytics.com/tableau-consultants/css/bootstrap.css	(from https://perceptive-analytics.com/tableau-consultants/)
15:28:58	28357/28357	---M--	200	added ('OK')	text/css	date:Tue,%201%20Jan%202019%2010:10:10%20GMT	https://perceptive-analytics.com/tableau-consultants/css/style.css	C:/Users/Asus/Desktop/current/tableau%20ab/tableau%20page/perceptive-analytics.com/tableau-consultants/css/style.css	(from https://perceptive-analytics.com/tableau-consultants/)
15:29:02	110178/110178	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2014%20Jun%202023%2009:58:59%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Asus/Desktop/current/tableau%20ab/tableau%20page/connect.facebook.net/en_US/fbevents.js	(from https://perceptive-analytics.com/tableau-consultants/)
15:29:04	6062/6062	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:20:06%20GMT	https://script.crazyegg.com/pages/scripts/0071/9462.js	C:/Users/Asus/Desktop/current/tableau%20ab/tableau%20page/script.crazyegg.com/pages/scripts/0071/9462.js	(from https://perceptive-analytics.com/tableau-consultants/)
15:29:07	32187/32187	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Jan%202019%2010:10:10%20GMT	https://perceptive-analytics.com/tableau-consultants/index.html	C:/Users/Asus/Desktop/current/tableau%20ab/tableau%20page/perceptive-analytics.com/tableau-consultants/index-2.html	(from https://perceptive-analytics.com/tableau-consultants/)
15:29:09	6388/6388	---M--	200	added ('OK')	image/png	date:Tue,%201%20Jan%202019%2010:10:10%20GMT	https://perceptive-analytics.com/tableau-consultants/images/perceptive_logo.png	C:/Users/Asus/Desktop/current/tableau%20ab/tableau%20page/perceptive-analytics.com/tableau-consultants/images/perceptive_logo.png	(from https://perceptive-analytics.com/tableau-consultants/)
